PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
160,D,2,15,L,-8,Run,,16,TREY,IZ,,,,,FIELD,TEXAS,,
161,D,1,10,R,-24,Run,,3,DUCK,SPLIT ZONE,,,,,FIELD,CUSE,,
162,D,2,7,R,-27,Run,,,RACKET,IZ,,,,,ATF,CUSE,,
163,D,3,4,R,-30,Pass,,,DUCK,BAMA,,,,,OKIE,HOUSTON,MONSTER,
164,K,4,4,R,-30,Punt Rec,,,,,,,,,,,,
165,O,1,10,R,-46,Run,,5,TRUCK,WASHINGTON,,,,,,,,
166,O,2,5,L,49,Run,,2,TRUCK,HOUSTON,,,,,,,,
167,O,3,3,L,47,Pass,,12,DEUCE,,,,,,,,,
168,O,1,10,R,35,Run,,1,,BROOM,,,,,,,,
169,O,2,9,M,34,Run,,1,TRUCK,WASHINGTON,,,,,,,,
170,O,3,8,R,33,Pass,,-8,,FLAMINGO,,,,,,,,
171,O,4,16,R,41,,,,,,,,,,,,,
172,O,1,10,R,-41,,,,,,,,,,FIELD,CUSE,,
173,D,,,R,,,,,,,,,,,,,,
174,D,,,R,,,,,,,,,,,,,,
