PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
281,O,1,10,L,24,Run,,1,DEUCE,NY,,,,,,,,
282,S,,,,,,,,,,,,,,,,,
283,S,,,,,,,,,,,,,,,,,
284,O,2,9,L,23,Pass,,0,BELL,,,,,,,,,
285,S,,,,,,,,,,,,,,,,,
286,O,3,9,L,23,Pass,,0,DOUBLES,,,,,,,,,
287,S,,,,,,,,,,,,,,,,,
288,K,4,9,L,23,FG,miss,,,,,,,,,,,
289,S,,,,,,,,,,,,,,,,,
290,S,,,,,,,,,,,,,,,,,
291,O,4,19,R,33,Pass,,0,TRIPS,,,,,,,,,
292,S,,,,,,,,,,,,,,,,,
293,D,1,10,M,-33,Run,,6,TREY,COUNTER,,,,,FIELD,CUSE,,
294,S,,,,,,,,,,,,,,,,,
295,D,2,4,L,-39,Run,,14,DEUCE,TACKLE WRAP,,,,,OKIE,CHECK,,
296,S,,,,,,,,,,,,,,,,,
297,D,1,10,L,47,Run,,5,UNB TWINS FIB,QB POWER,,,,,EAGLE,CUSE,,
298,S,,,,,,,,,,,,,,,,,
299,D,2,5,R,42,Run,,8,TREY,COUNTER,,,,,,HOUSTON,OTTER,
300,S,,,,,,,,,,,,,,,,,
301,D,1,10,L,34,Run,,5,DUCK,SPLIT ZONE,,,,,FIELD,CUSE,,
302,S,,,,,,,,,,,,,,,,,
303,D,2,5,L,29,Run,,13,TITAN FIB,QB POWER,,,,,,CUSE,MULE,
304,S,,,,,,,,,,,,,,,,,
305,D,1,10,L,16,Run,,4,DEUCE,QB POWER,,,,,EAGLE,CUSE,,
306,S,,,,,,,,,,,,,,,,,
307,D,2,6,L,12,Run,,8,DEUCE,QB POWER,,,,,EAGLE,CUSE,,
308,S,,,,,,,,,,,,,,,,,
309,D,1,4,L,4,Run,,2,PRO,QB COUNTER,,,,,ANCHOR,CARDINAL,,
310,S,,,,,,,,,,,,,,,,,
311,D,2,2,L,2,Run,,1,TITAN FIB,QB COUNTER,,,,,ANCHOR,CARDINAL,,
312,S,,,,,,,,,,,,,,,,,
313,D,3,1,L,1,Run,,0,DUO,QB POWER,,,,,ANCHOR,CARDINAL,,4
314,S,,,,,,,,,,,,,,,,,
315,D,4,1,M,1,Run,,1,,QB POWER,,,,,EAGLE,CUSE,,
316,S,,,,,,,,,,,,,,,,,
317,K,,,,,FG Block,,,,,,,,,,,,
318,S,,,,,,,,,,,,,,,,,
319,K,,,,,KO Rec,,,,,,,,,,,,
320,S,,,,,,,,,,,,,,,,,
321,O,1,10,R,-35,Run,,-5,TRUCK,,,,,,,,,
322,S,,,,,,,,,,,,,,,,,
323,O,1,15,R,-30,Run,,4,TREY,NEW ENGLAND,,,,,,,,
324,S,,,,,,,,,,,,,,,,,
325,D,1,10,R,33,Run,,15,TRAP,TACKLE WRAP,,,,,FIELD,CUSE,,
326,S,,,,,,,,,,,,,,,,,
327,D,1,10,M,18,Run,,-3,TRAP,IZR,,,,,FIELD,CUSE,,
328,S,,,,,,,,,,,,,,,,,
329,D,2,13,M,21,Run,,0,TREY,QB COUNTER,,,,,FIELD,CUSE,,
330,S,,,,,,,,,,,,,,,,,
331,D,3,13,L,21,Pass,,20,TREY,Y POP PASS,,,,,FIELD,CLEMSON,,
332,D,1,1,L,1,Run,,1,PRO,POWER,,,,,EAGLE,STANFORD,,
333,S,,,,,,,,,,,,,,,,,
334,K,0,10,,0,FG Block,,,,,,,,,,,,
335,S,,,,,,,,,,,,,,,,,
336,K,,,,,KO Rec,,,,,,,,,,,,
337,S,,,,,,,,,,,,,,,,,
338,O,1,10,L,-30,Run,,4,TRUCK,HOUSTON,,,,,,,,
339,S,,,,,,,,,,,,,,,,,
340,O,2,6,M,-34,Run,,2,TRUCK,HOUSTON,,,,,,,,
341,S,,,,,,,,,,,,,,,,,
342,O,3,4,M,-36,Pass,,0,DOUBLES,,,,,,,,,
343,S,,,,,,,,,,,,,,,,,
344,S,,,,,,,,,,,,,,,,,
345,K,4,4,M,-36,Punt,,,,,,,,,,,,
346,S,,,,,,,,,,,,,,,,,
347,D,1,10,L,-25,Run,,5,PRO,POWER,,,,,FIELD,CUSE,,
348,S,,,,,,,,,,,,,,,,,
349,D,2,5,L,-30,Run,,4,PRO,POWER,,,,,OKIE,CUSE,,
350,S,,,,,,,,,,,,,,,,,
351,D,3,1,L,-34,Run,,5,PRO,POWER,,,,,FIELD,CUSE,,
352,S,,,,,,,,,,,,,,,,,
353,D,1,10,L,-39,Run,,2,PRO,POWER,,,,,FIELD,CUSE,,
354,S,,,,,,,,,,,,,,,,,
355,D,2,8,L,-41,Run,,7,TWINS,COUNTER,,,,,FIELD,CUSE,,
356,S,,,,,,,,,,,,,,,,,
357,D,3,1,L,-48,Run,,0,,,,,,,,HOUSTON,MULE,
358,S,,,,,,,,,,,,,,,,,
359,D,4,1,M,-48,Run,,10,PRO,POWER,,,,,,HOUSTON,BEAR,
360,S,,,,,,,,,,,,,,,,,
361,D,1,10,L,42,,,-1,,,,,,,FIELD,CUSE,,
362,S,,,,,,,,,,,,,,,,,
363,D,2,11,L,43,,,-1,,,,,,,,,,
