PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
149,O,1,20,,-9,Pass,,0,TRIO,RB SCREEN,,,,,OKIE,CUSE,,
150,O,2,20,,-9,Run,,3,TRIO,OZ,,,,,OKIE,CUSE,,
151,O,3,17,,-12,Run,,88,TRIO,OZ,,,,,WOLF,CUSE,,
152,K,0,,,3,FG Block,,,,,,,,,,,,
153,K,0,,,-35,KO Rec,,,,,,,,,,,,
154,D,1,10,,-7,Pass,,10,DOUBLES,,,,,,,,,
155,D,1,10,R,-17,Pass,,1,,FLAMINGO,,,,,,,,
156,D,2,9,,-18,Pass,,5,DOUBLES,,,,,,,,,
157,D,3,4,,-23,Pass,,5,DOUBLES,,,,,,,,,
158,D,1,10,L,-28,Pass,,-5,,VULTURE,,,,,,,,
159,D,1,15,,-23,Pass,,0,DOUBLES,,,,,,,,,
160,D,2,15,,-23,Pass,,9,TENT,,,,,,,,,
161,D,3,6,,-32,Pass,,27,TRIO,NASA,,,,,,,,
162,D,1,10,R,41,Pass,,29,,VULTURE,,,,,,,,
163,D,1,10,,12,Pass,,0,DOUBLES,,,,,,,,,
164,O,1,10,,-20,Run,,-1,TREY,IZ,,,,,FIELD,CUSE,,
165,O,2,11,,-19,Run,,-1,TRAP,OZ,,,,,FIELD,CLEMSON,,
166,O,3,12,,-18,Run,,,DUCK,Y FOLD,,,,,FIELD,CUSE,,
167,K,4,3,,-27,Punt Rec,,,,,,,,,,,,
168,D,1,10,,-21,Pass,,8,DOUBLES,,,,,,,,,
169,D,2,2,R,-29,Pass,,9,,SEAGULL,,,,,,,,
