PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
40,K,4,2,M,44,Punt Rec,,,,,,,,,,,,
41,O,1,10,R,-9,Run,,2,DEUCE,HOUSTON,,,,,,,,
42,O,2,9,M,-10,Pass,,4,DEUCE,,,,,,,,,
43,O,3,5,R,-14,Pass,,0,EXTRA,,,,,,,,,
44,K,0,10,M,3,FG Block,,,,,,,,,,,,
45,K,0,10,R,-35,KO Rec,,,,,,,,,,,,
46,K,0,10,R,-35,KO Rec,,,,,,,,,,,,
47,O,1,10,L,-35,Run,,-1,TREY,MINNESOTA,,,,,,,,
48,O,2,11,L,-34,Run,,0,DAB,NEW ENGLAND,,,,,,,,
49,O,3,11,L,-34,,,-6,,,,,,,,,,
50,O,3,16,L,-28,Pass,,18,DOUBLES,,,,,,,,,
51,O,1,10,R,-46,Pass,,0,DOUBLES,,,,,,,,,2
52,O,2,10,R,-46,Run,,2,DUCK,DENVER,,,,,,,,
53,O,3,8,R,-48,Pass,,3,DOUBLES,,,,,,,,,
54,O,1,10,R,44,Run,,2,,BROOM,,,,,,,,
55,O,2,8,R,42,Pass,,42,TRUCK,,,,,,,,,
56,K,0,3,M,3,FG,,,,,,,,,,,,
57,K,0,10,L,-35,KO,,,,,,,,,,,,
58,D,1,10,R,-35,,,1,,,,,,,ANCHOR,CUSE,,
59,D,2,9,M,-36,Run,,4,TREY,QB POWER,,,,,ATF,SYRACUSE,,
60,D,3,5,M,-40,Pass,,7,TRAP WING,PRINCETON,,,,,ANCHOR,CLEMSON,,
61,D,1,10,R,-47,Run,,5,UNB TWINS,POWER,,,,,ATF,SYRACUSE,,
62,D,2,5,L,48,Pass,,14,UNB TWINS,SMASH,,,,,ATF,SYRACUSE,,
63,D,1,10,R,34,Pass,,6,DOUBLES,SMASH DARTMOUTH,,,,,ANCHOR,TEXAS,,
64,D,2,5,L,28,Run,,3,UNB DOUBLE TIGHT TWINS FIB,QB POWER RD,,,,,ATF,SYRACUSE,,
65,D,3,2,M,25,,,5,,,,,,,ATF,CUSE,,
66,D,1,10,M,20,Run,,8,PRO,COUNTER,,,,,ATF,SYRACUSE,,
67,D,2,2,R,12,,,-1,,,,,,,,CUSE SHARK,,
68,D,3,3,R,13,,,0,,,,,,,,,,
69,D,4,3,R,13,,,,,,,,,,,,,
